id,x,y,z,timestamp
1,150.30089,-33.728676,1008.8,2014-07-09 08:12:02
2,150.30084,-33.7289,1001.5,2014-07-09 08:19:04
3,150.30103,-33.729076,997.5,2014-07-09 08:19:21
4,150.3011,-33.729294,991.3,2014-07-09 08:21:37
5,150.30113,-33.72952,976.9,2014-07-09 08:25:54
6,150.30112,-33.729744,973.1,2014-07-09 08:26:00
7,150.3011,-33.73001,964.4,2014-07-09 08:26:06
8,150.30109,-33.730247,951.1,2014-07-09 08:26:12
9,150.30109,-33.73049,938.5,2014-07-09 08:26:18
10,150.30104,-33.73075,929.8,2014-07-09 08:26:24
11,150.30103,-33.730995,905.6,2014-07-09 08:26:31
12,150.30109,-33.73125,897.1,2014-07-09 08:26:37
13,150.30109,-33.7315,885.4,2014-07-09 08:26:43
14,150.30103,-33.73174,870.1,2014-07-09 08:26:49
15,150.30095,-33.731976,854.4,2014-07-09 08:26:55
16,150.30089,-33.7322,837.2,2014-07-09 08:27:01
17,150.30084,-33.732452,825.4,2014-07-09 08:27:07
18,150.30086,-33.732697,817.6,2014-07-09 08:27:12
19,150.30081,-33.732925,805.8,2014-07-09 08:27:18
20,150.30078,-33.733166,790.5,2014-07-09 08:27:25
21,150.30075,-33.73339,777.5,2014-07-09 08:27:58
22,150.30064,-33.733177,701,2014-07-09 08:29:46
23,150.3007,-33.732944,792.4,2014-07-09 08:30:03
24,150.30067,-33.73272,798.5,2014-07-09 08:30:22
25,150.30064,-33.732494,794.7,2014-07-09 08:30:36
26,150.30067,-33.732265,802.1,2014-07-09 08:30:53
27,150.30081,-33.732063,801.7,2014-07-09 08:31:18
28,150.30086,-33.73183,793.8,2014-07-09 08:31:35
29,150.30093,-33.7316,789.1,2014-07-09 08:31:52
30,150.30067,-33.731693,792.4,2014-07-09 08:32:53
31,150.30049,-33.731865,798.5,2014-07-09 08:33:21
32,150.30035,-33.732067,799.5,2014-07-09 08:33:53
33,150.30037,-33.732296,809.4,2014-07-09 08:34:14
34,150.30028,-33.732513,837.8,2014-07-09 08:34:39
35,150.30022,-33.732742,841.1,2014-07-09 08:35:00
36,150.30014,-33.73296,807.7,2014-07-09 08:35:30
37,150.30002,-33.733173,818.4,2014-07-09 08:35:51
38,150.30002,-33.733406,824.1,2014-07-09 08:36:13
39,150.2999,-33.73361,828.8,2014-07-09 08:36:36
40,150.29987,-33.73384,837.2,2014-07-09 08:36:54
41,150.29979,-33.734066,844.7,2014-07-09 08:37:10
42,150.2996,-33.73425,848.4,2014-07-09 08:37:27
43,150.29953,-33.734463,852.9,2014-07-09 08:37:50
44,150.29935,-33.734646,838.4,2014-07-09 08:38:13
45,150.29918,-33.73483,823.5,2014-07-09 08:38:38
46,150.29895,-33.734978,831.4,2014-07-09 08:38:57
47,150.2987,-33.735073,823.8,2014-07-09 08:39:15
48,150.29843,-33.735134,826.4,2014-07-09 08:39:49
49,150.29817,-33.735077,807.6,2014-07-09 08:40:38
50,150.29791,-33.735146,803.1,2014-07-09 08:41:36
51,150.2977,-33.73527,794.2,2014-07-09 08:42:30
52,150.29749,-33.735428,799.4,2014-07-09 08:43:00
53,150.29738,-33.735634,779,2014-07-09 08:44:47
54,150.29741,-33.73586,771.7,2014-07-09 08:45:18
55,150.29755,-33.73606,758.9,2014-07-09 08:46:01
56,150.29774,-33.73622,744.2,2014-07-09 08:47:00
57,150.29778,-33.736446,723.9,2014-07-09 08:48:25
58,150.29797,-33.73659,719.5,2014-07-09 08:51:10
59,150.298,-33.736816,714.3,2014-07-09 08:52:52
60,150.29805,-33.73704,704,2014-07-09 08:55:39
61,150.29825,-33.736885,697.3,2014-07-09 09:12:07
62,150.29836,-33.736668,699.3,2014-07-09 09:13:04
63,150.29845,-33.736454,709.4,2014-07-09 09:14:36
64,150.29839,-33.736233,710.6,2014-07-09 09:18:59
65,150.2986,-33.73609,728,2014-07-09 09:56:14
66,150.29857,-33.73632,723.4,2014-07-09 10:38:10
67,150.2984,-33.736504,717.2,2014-07-09 11:20:39
68,150.2983,-33.736706,701.6,2014-07-09 11:38:48
69,150.29811,-33.736877,701.9,2014-07-09 11:59:57
70,150.29808,-33.737103,689,2014-07-09 12:30:04
71,150.29822,-33.737305,685.7,2014-07-09 12:31:59
72,150.29836,-33.737495,676.5,2014-07-09 12:35:53
73,150.29823,-33.737297,694.1,2014-07-09 13:05:52
74,150.2981,-33.737103,687.3,2014-07-09 15:11:11
75,150.2981,-33.736874,694.2,2014-07-09 15:12:14
76,150.29802,-33.736652,707.1,2014-07-09 15:13:39
77,150.29784,-33.736485,717.5,2014-07-09 15:15:24
78,150.29778,-33.736263,732.2,2014-07-09 15:17:21
79,150.29758,-33.73611,742.3,2014-07-09 15:18:42
80,150.29744,-33.735916,751.9,2014-07-09 15:22:37
81,150.29735,-33.7357,755.8,2014-07-09 15:23:14
82,150.29735,-33.73547,753,2014-07-09 15:25:23
83,150.29756,-33.735325,759.9,2014-07-09 15:26:17
84,150.29778,-33.73518,768.1,2014-07-09 15:27:33
85,150.29794,-33.735004,778.8,2014-07-09 15:30:05
86,150.2982,-33.73508,784.1,2014-07-09 15:32:15
87,150.29848,-33.73507,793,2014-07-09 15:32:58
88,150.29875,-33.735043,792.4,2014-07-09 15:33:22
89,150.299,-33.734966,790.2,2014-07-09 15:33:45
90,150.2992,-33.734802,789.4,2014-07-09 15:34:14
91,150.2994,-33.734634,794.3,2014-07-09 15:34:50
92,150.2995,-33.734413,790.8,2014-07-09 15:35:13
93,150.29955,-33.734184,786,2014-07-09 15:35:26
94,150.2997,-33.733982,790.2,2014-07-09 15:35:48
95,150.29977,-33.73376,788.9,2014-07-09 15:36:07
96,150.29991,-33.733562,782.3,2014-07-09 15:36:25
97,150.29996,-33.733326,784.2,2014-07-09 15:36:59
98,150.30006,-33.733116,780.8,2014-07-09 15:37:16
99,150.30023,-33.732937,781.7,2014-07-09 15:37:48
100,150.30028,-33.732697,778,2014-07-09 15:38:21
101,150.30031,-33.73247,776.2,2014-07-09 15:38:47
102,150.30046,-33.73227,783.5,2014-07-09 15:39:07
103,150.3005,-33.732033,787.9,2014-07-09 15:39:34
104,150.30066,-33.731815,786.9,2014-07-09 15:40:11
105,150.30083,-33.731613,785.7,2014-07-09 15:40:22
106,150.30107,-33.731506,793.2,2014-07-09 15:41:15
107,150.30133,-33.731422,794.8,2014-07-09 15:41:36
108,150.30153,-33.731266,787.7,2014-07-09 15:42:07
109,150.30167,-33.731068,766.3,2014-07-09 15:45:53
110,150.30177,-33.730824,768.2,2014-07-09 15:50:14
111,150.30174,-33.730587,772.4,2014-07-09 15:50:20
112,150.3017,-33.73036,776.4,2014-07-09 15:50:27
113,150.30171,-33.730103,776.3,2014-07-09 15:50:34
114,150.30171,-33.729843,776.3,2014-07-09 15:50:44
115,150.3017,-33.729584,776.1,2014-07-09 15:50:51
116,150.30162,-33.729332,780.3,2014-07-09 15:50:57
117,150.30159,-33.729073,780.8,2014-07-09 15:51:03
118,150.30142,-33.728554,785.3,2014-07-09 15:51:24
119,150.30145,-33.728794,785.6,2014-07-09 15:51:36
120,150.30144,-33.72902,889.1,2014-07-09 15:51:54
121,150.3012,-33.7287,963.8,2014-07-09 15:55:51
122,150.30092,-33.728714,962.4,2014-07-09 15:55:53
123,150.30086,-33.72848,978.3,2014-07-09 16:00:22
124,150.30075,-33.728268,983.2,2014-07-09 16:00:43
125,150.3007,-33.728046,977.2,2014-07-09 16:02:32
126,150.30042,-33.728058,973.4,2014-07-09 16:04:28
127,150.30014,-33.72797,970.8,2014-07-09 16:04:33
128,150.30002,-33.727734,976.3,2014-07-09 16:04:47
129,150.30011,-33.727512,973.9,2014-07-09 16:04:48
130,150.30037,-33.727287,972.5,2014-07-09 16:04:51
131,150.30061,-33.727158,973.6,2014-07-09 16:04:53
132,150.30086,-33.727024,973.9,2014-07-09 16:04:55
133,150.30112,-33.726887,974.1,2014-07-09 16:04:57
134,150.30138,-33.726746,973.4,2014-07-09 16:04:59
135,150.30164,-33.726612,973.4,2014-07-09 16:05:01
136,150.30191,-33.726505,973.6,2014-07-09 16:05:03
137,150.30217,-33.726406,974.8,2014-07-09 16:05:05
138,150.3025,-33.726273,975.2,2014-07-09 16:05:08
139,150.30275,-33.726173,974.9,2014-07-09 16:05:14
140,150.30305,-33.72609,975.8,2014-07-09 16:05:25
141,150.30334,-33.72614,976.7,2014-07-09 16:05:28
142,150.30374,-33.72622,975.5,2014-07-09 16:05:31
143,150.30403,-33.726276,974.2,2014-07-09 16:05:33
144,150.30432,-33.726284,972.3,2014-07-09 16:05:35
145,150.30461,-33.72624,971.2,2014-07-09 16:05:37
146,150.30482,-33.726078,969.9,2014-07-09 16:05:39
147,150.30502,-33.725853,967.7,2014-07-09 16:05:41
148,150.30522,-33.72561,965.5,2014-07-09 16:05:43
149,150.30544,-33.72538,964.3,2014-07-09 16:05:45
150,150.30568,-33.7252,964.3,2014-07-09 16:05:47
151,150.30598,-33.72516,965,2014-07-09 16:05:49
152,150.3063,-33.725147,964.3,2014-07-09 16:05:51
153,150.30661,-33.725185,963.5,2014-07-09 16:05:53
154,150.30692,-33.725243,963.9,2014-07-09 16:05:55
155,150.30722,-33.725307,964.3,2014-07-09 16:05:57
156,150.30751,-33.725384,965.1,2014-07-09 16:05:59
157,150.30782,-33.72538,965.4,2014-07-09 16:06:01
158,150.30807,-33.72551,965.2,2014-07-09 16:06:03
159,150.30846,-33.725567,968.4,2014-07-09 16:06:06
160,150.30875,-33.72542,972.9,2014-07-09 16:06:09
161,150.30899,-33.725197,975.9,2014-07-09 16:06:12
162,150.30923,-33.724953,979,2014-07-09 16:06:15
163,150.30943,-33.724766,981.6,2014-07-09 16:06:19
164,150.30957,-33.724514,984.3,2014-07-09 16:06:25
165,150.30962,-33.724216,983.5,2014-07-09 16:06:28
166,150.30966,-33.723946,984,2014-07-09 16:06:30
167,150.30971,-33.72368,983.9,2014-07-09 16:06:32
168,150.30977,-33.723373,983.6,2014-07-09 16:06:34
169,150.30981,-33.72309,983.4,2014-07-09 16:06:36
170,150.30988,-33.72281,983,2014-07-09 16:06:38
171,150.30992,-33.722546,982.7,2014-07-09 16:06:40
172,150.30997,-33.722282,983.2,2014-07-09 16:06:42
173,150.31001,-33.72202,983.7,2014-07-09 16:06:44
174,150.31006,-33.72176,984,2014-07-09 16:06:46
175,150.3101,-33.721508,984.5,2014-07-09 16:06:48
176,150.31017,-33.72124,984.9,2014-07-09 16:06:50
177,150.31021,-33.720966,986.9,2014-07-09 16:06:52
178,150.31027,-33.720707,990.8,2014-07-09 16:06:54
179,150.31033,-33.72045,993.8,2014-07-09 16:06:56
180,150.31038,-33.720192,995.8,2014-07-09 16:06:58
181,150.31042,-33.719944,997.4,2014-07-09 16:07:00
182,150.3105,-33.719612,1000.2,2014-07-09 16:07:03
183,150.31055,-33.719383,1000.8,2014-07-09 16:07:05
184,150.31061,-33.719055,1001.7,2014-07-09 16:07:08
185,150.31065,-33.71877,1003.9,2014-07-09 16:07:11
186,150.31073,-33.718372,817.9,2014-07-09 16:07:15
187,150.31078,-33.718117,934.3,2014-07-09 16:07:18
188,150.31082,-33.71786,947.2,2014-07-09 16:07:21
189,150.31088,-33.717583,974,2014-07-09 16:07:25
190,150.31091,-33.717327,999.2,2014-07-09 16:07:31
191,150.31119,-33.71723,1007.4,2014-07-09 16:07:42
192,150.31151,-33.71731,1007.5,2014-07-09 16:07:47
193,150.31184,-33.71736,1009.3,2014-07-09 16:07:51
194,150.31213,-33.71738,1009.5,2014-07-09 16:07:56
195,150.31224,-33.717144,1011.2,2014-07-09 16:08:03
196,150.3123,-33.716873,1012.6,2014-07-09 16:08:06
