Name,Location,Coordinates From Googlemaps,Lat,Long
Zagora Remote Sensing (USYD),Zagora Archaeological Project,"37.7750055,24.8643256",37.7750055,24.8643256
New Zealand Soil Geochemistry,NZ Soil Atlas,"-41.2443488,174.6918153",-41.2443488,174.6918153
MXXXXX survey,$Confidential,NA,,
Boncuklu Huyuk Excavation (UQ),Boncuklu Project,"37.7517254,32.8626161",37.7517254,32.8626161
Boncuklu Excavation on Cyprus,Cyprus,"35.1684775,33.1450231",35.1684775,33.1450231
MEMSAP Excavation module (Yale Uni),Malawi Earlier-Middle Stone Age Project,"-12.188328, 33.941553",-12.188328,33.941553
Liang Bua project (Smithsonian),Borrowed from MEMSAP,"-8.5095755,120.8478553",-8.5095755,120.8478553
MEMSAP Survey module (Yale Uni),Malawi Earlier-Middle Stone Age Project,"-12.188328, 33.941553",-12.188328,33.941553
ADS gravestones (Uni of York),fieldschool,"53.9585914,-1.1156108",53.9585914,-1.1156108
Historical Architecture (Flinders Uni),fieldschool,"-35.0004451,138.3309829",-35.0004451,138.3309829
Simple Survey,fieldschool,NA,NA,
Oral Tradition (Flinders Uni),fieldschool,"-11.971174, 142.022104",-11.971174,142.022104
Artefact module,fieldschool,NA,NA,
Proyecto Arqueològico Zaña Colonial Excavation (Brown Uni),Proyecto Arqueològico Zaña Colonial,"-6.9121119,-79.5886946",-6.9121119,-79.5886946
Blue Mountains Ropeway Project,BMR survey,"-33.7039376,150.2779455",-33.7039376,150.2779455
AHMS Excavation,Excavation work,"-37.9722342,144.7729595",-37.9722342,144.7729595
CSIRO Aquaeous Chemistry,Mapping OZ,NA,NA,
CSIRO Sampling Module,"Mapping water, plant, soil and rocks","-24.0311993,119.4178586",-24.0311993,119.4178586
Bettong Ecology,UNSW,NA,NA,
BMR Community,BMR,"-33.7039376,150.2779455",-33.7039376,150.2779455
Inscriptions Recording Module,HAT,NA,NA,
Mungo Lake Survey Module (La Trobe Uni),Mungo Lake Project,"-33.7187107,142.9764207",-33.7187107,142.9764207
Mungo Lake Excavation (La Trobe Uni),Mungo Lake Project,"-33.7187107,142.9764207",-33.7187107,142.9764207
Papua New Guinea survey project (UNSW),The Beginnings of Agriculture,"-5.4978511,145.8265092",-5.4978511,145.8265092
Dendera Skeleton,Dendera,NA,NA,
Dendera Excavation project (MQU),Dendera,"26.1661002,32.6508155",26.1661002,32.6508155
Bird Ecology - Banding module (MQU),Avian Ecology Group,"-31.375281,141.3754313",-31.375281,141.3754313
Bird Ecology - Nesting module (MQU),Avian Ecology Group,"-31.375281,141.3754313",-31.375281,141.3754313
CSIRO Crops,"Mineral And Environmental Spectral Sensing Group, WA","-32.0397559,115.6813576",-32.0397559,115.6813576
Streamwatch,Water quality sampling,"-33.8481647,150.7918926",-33.8481647,150.7918926
Vegesafe (MQU),Soil contamination,NA,NA,
GML Aboriginal survey module,GML,"-33.8481647,150.7918926",-33.8481647,150.7918926
TRAP Burial Mound (Aarhus Uni),Tundzha Regional Archaeological Project,"42.1341693,26.7215019",42.1341693,26.7215019
Tao River Archaeological Project (Harvard Uni),Tao River Archaeological Project,"34.8953139,103.5435326",34.8953139,103.5435326
TRAP Gridded Survey (Aarhus Uni),Tundzha Regional Archaeological Project; Perachora Peninsula Archaeological Project,"42.1341693,26.7215019",42.1341693,26.7215019
Fish demo module,Environmental Solutions Fish Module,NA,NA,
Archive Scanner (MQU),"Oral History, Australia's Asian Garrisons, Canberra, Wellington, ..","-35.313899,148.9897004",-35.313899,148.9897004
Muru Mittigar,"Muru Mittigar local community, Penrith",NA,NA,
Proyecto Arqueològico Zaña Colonial pottery module,Proyecto Arqueològico Zaña Colonial,"41.8267718,-71.4047369",41.8267718,-71.4047369
Blue Mountains Excavation,BMWHI,NA,NA,
Turtle student,Ecology,NA,NA,
Georgia module,No Mans Sky,NA,NA,
Vegetation Diversity,Debbie Saunders,NA,NA,
Linguistic crossroads in Senegal (SUNY Buffalo),"KPAAM-CAM, Jeff Good; https://soascrossroads.org; http://www.acsu.buffalo.edu/~jcgood/","13.3497581,-15.8957153",13.3497581,-15.8957153
Oral History module for Australian-Greek community project (UNSW),Australian-Greek community project,"-33.8481647,150.7918926",-33.8481647,150.7918926
Document annotation,MQ Egyptology,NA,NA,
TRAP Burial Mound Community module (MQU),Tundzha Regional Archaeological Project,"42.4771382,26.4854401",42.4771382,26.4854401
Map Digitisation module (MQU),Tundzha Regional Archaeological Project,"42.7199108,24.422327",42.7199108,24.422327
Oysters - YourShore project (USYD),YourShore (own APK) Sydney,"-33.8481647,150.7918926",-33.8481647,150.7918926
Historical Archaeology NSW Bricks,Nepean District Historical Archaeology Group (NDHAG) ,"-33.7448461,150.6720233",-33.7448461,150.6720233
BMWHI Species monitoring,Blue Mountains World Heritage Institute,NA,NA,
Palaeontology module,UWM,NA,NA,
PERAHU Rock Art Monitoring (Griffith Uni),"PERAHU, Griffith University","-27.543612,153.0642913",-27.543612,153.0642913
"Biodiversity of Yirrkala, Arnhem Land (MQU)",MQ Biology,"-12.2461949,136.8682458",-12.2461949,136.8682458
