Suburb,suburb_id,flats,wc_access,bath,year,bath_communal_ct,wc_communal_ct,hot_water
Indre by,1,16280,11310,3800,1950,NA,NA,3390
Christianshavn,1,5490,3900,900,1950,NA,NA,850
Voldkvartererne,1,13460,12690,4560,1950,NA,NA,4290
Østerbro,2,30820,28900,13750,1950,NA,NA,10750
Indre Nørrebro,3,28700,24380,5910,1950,NA,NA,4010
Ydre Nørrebro,3,21710,20410,5800,1950,NA,NA,4800
Vesterbro,4,25850,23930,3730,1950,NA,NA,2480
Kongens Enghave,4,6270,6240,4240,1950,NA,NA,3630
Valby,5,14430,13970,8190,1950,NA,NA,6980
Vigerslev,5,7700,7580,5050,1950,NA,NA,3850
Vanløse,6,10260,10120,6780,1950,NA,NA,6270
Husum,7,7360,7180,3780,1950,NA,NA,3120
Brønshøj,7,10590,10360,7410,1950,NA,NA,6970
"Utterslev, syd",7,9310,9230,3600,1950,NA,NA,3190
"Utterslev, nord",8,14250,13980,10680,1950,NA,NA,10430
Emdrup,8,5020,5000,4320,1950,NA,NA,4260
Amagerbro og Islands brygge,10,8420,8300,3870,1950,NA,NA,3550
Sundbyvester m. m.,10,9580,7900,5160,1950,NA,NA,4250
"Sundbyvøster, nord",9,13340,12460,5200,1950,NA,NA,4390
"Sundbyøster, syd",9,10620,10490,7270,1950,NA,NA,6820
Indre by,1,14890,14890,3940,1955,NA,NA,3560
Christianshavn,1,5530,5480,1190,1955,NA,NA,1130
Voldkvartererne,1,13070,13060,4610,1955,NA,NA,4440
Østerbro,2,30540,30510,14060,1955,NA,NA,11660
Indre Nørrebro,3,28670,28660,6390,1955,NA,NA,4710
Ydre Nørrebro,3,21430,21370,6580,1955,NA,NA,5290
Vesterbro,4,25590,25400,4070,1955,NA,NA,2810
Kongens Enghave,4,6600,6340,4610,1955,NA,NA,4210
Valby,5,14660,14570,8530,1955,NA,NA,7460
Vigerslev,5,8610,8400,6050,1955,NA,NA,4780
Vanløse,6,10540,10530,7280,1955,NA,NA,6720
Husum,7,8470,8390,5660,1955,NA,NA,4830
Brønshøj,7,10580,10580,7700,1955,NA,NA,7310
"Utterslev, syd",7,10090,10090,4720,1955,NA,NA,4340
"Utterslev, nord",8,14460,14460,10850,1955,NA,NA,10650
Emdrup,8,5510,5500,4890,1955,NA,NA,4850
Amagerbro og Islands brygge,10,8420,8410,4160,1955,NA,NA,3740
Sundbyvester m. m.,10,10540,9100,6050,1955,NA,NA,4860
"Sundbyvøster, nord",9,13410,13410,5360,1955,NA,NA,4510
"Sundbyøster, syd",9,10870,10850,7760,1955,NA,NA,7240
Indre by,1,13700,13680,5020,1965,840,5100,NA
Christianshavn,1,5270,5270,1850,1965,270,1950,NA
