Party,Region,Y2011,Y2015,Y2019
A. Socialdemokratiet,København,61995,73080,58047
A. Socialdemokratiet,Frederiksberg,10797,14129,10185
A. Socialdemokratiet,Dragør,1404,1983,1783
A. Socialdemokratiet,Tårnby,6509,7561,7864
A. Socialdemokratiet,Albertslund,4823,4836,4464
A. Socialdemokratiet,Ballerup,9950,10487,9601
A. Socialdemokratiet,Brøndby,6455,6635,6404
A. Socialdemokratiet,Gentofte,5342,7850,5163
A. Socialdemokratiet,Gladsaxe,10329,11629,9977
A. Socialdemokratiet,Glostrup,3969,4209,3928
A. Socialdemokratiet,Herlev,5143,5610,5306
A. Socialdemokratiet,Hvidovre,8886,9738,8886
A. Socialdemokratiet,Høje-Taastrup,7728,7860,7248
A. Socialdemokratiet,Ishøj,3530,3612,3224
A. Socialdemokratiet,Lyngby-Taarbæk,6141,7904,6131
A. Socialdemokratiet,Rødovre,7270,7590,7241
A. Socialdemokratiet,Vallensbæk,1991,2401,2272
A. Socialdemokratiet,Allerød,2414,3450,3079
A. Socialdemokratiet,Egedal,5663,6778,6730
A. Socialdemokratiet,Fredensborg,4281,5139,4802
A. Socialdemokratiet,Frederikssund,6457,7251,7548
A. Socialdemokratiet,Furesø,4419,5923,4971
A. Socialdemokratiet,Gribskov,4799,5541,5782
A. Socialdemokratiet,Halsnæs,5073,5519,5650
A. Socialdemokratiet,Helsingør,9092,9688,9520
A. Socialdemokratiet,Hillerød,6190,7348,7349
A. Socialdemokratiet,Hørsholm,1700,2384,1869
A. Socialdemokratiet,Rudersdal,4094,5801,4501
A. Socialdemokratiet,Bornholm,9788,8661,8573
A. Socialdemokratiet,Christiansø,13,22,20
A. Socialdemokratiet,Greve,6102,7377,7504
A. Socialdemokratiet,Køge,8309,9517,8573
A. Socialdemokratiet,Lejre,3402,4267,4088
A. Socialdemokratiet,Roskilde,11498,14087,13225
A. Socialdemokratiet,Solrød,2560,3184,3102
A. Socialdemokratiet,Faxe,5352,5666,6270
A. Socialdemokratiet,Guldborgsund,13097,12657,12995
A. Socialdemokratiet,Holbæk,11449,12173,12772
A. Socialdemokratiet,Kalundborg,7872,8238,8543
A. Socialdemokratiet,Lolland,9279,9679,10000
A. Socialdemokratiet,Næstved,15208,17230,17409
A. Socialdemokratiet,Odsherred,5571,6276,6529
A. Socialdemokratiet,Ringsted,5163,5474,5384
A. Socialdemokratiet,Slagelse,12645,13197,13478
A. Socialdemokratiet,Sorø,4553,4836,4886
A. Socialdemokratiet,Stevns,3149,3631,3523
A. Socialdemokratiet,Vordingborg,8362,8975,8776
A. Socialdemokratiet,Assens,7841,7657,8152
A. Socialdemokratiet,Faaborg-Midtfyn,9115,9020,9667
A. Socialdemokratiet,Kerteminde,5002,5183,5422
A. Socialdemokratiet,Langeland,2567,2246,2789
A. Socialdemokratiet,Middelfart,6622,7260,7713
A. Socialdemokratiet,Nordfyns,5169,5464,5932
A. Socialdemokratiet,Nyborg,6386,6868,6964
A. Socialdemokratiet,Odense,35280,35434,35310
A. Socialdemokratiet,Svendborg,10482,9964,11358
A. Socialdemokratiet,Ærø,1113,965,1030
A. Socialdemokratiet,Billund,3346,3172,3688
A. Socialdemokratiet,Esbjerg,19588,18399,20123
A. Socialdemokratiet,Fanø,465,608,575
A. Socialdemokratiet,Fredericia,9753,8755,9432
A. Socialdemokratiet,Haderslev,8652,8621,9357
A. Socialdemokratiet,Kolding,11855,12660,12979
A. Socialdemokratiet,Sønderborg,13017,11728,13470
A. Socialdemokratiet,Tønder,5967,5038,5413
A. Socialdemokratiet,Varde,5985,5907,6813
A. Socialdemokratiet,Vejen,6141,5923,6668
A. Socialdemokratiet,Vejle,15080,15723,16265
A. Socialdemokratiet,Aabenraa,9088,7857,8858
A. Socialdemokratiet,Favrskov,7972,8185,8400
A. Socialdemokratiet,Hedensted,6250,6399,6917
A. Socialdemokratiet,Horsens,13595,13900,14601
A. Socialdemokratiet,Norddjurs,7740,7127,7496
A. Socialdemokratiet,Odder,3936,4297,3961
A. Socialdemokratiet,Randers,21047,19028,19417
A. Socialdemokratiet,Samsø,611,692,638
A. Socialdemokratiet,Silkeborg,14076,14662,14665
A. Socialdemokratiet,Skanderborg,9428,10262,10121
A. Socialdemokratiet,Syddjurs,7223,6808,7390
A. Socialdemokratiet,Aarhus,53536,55622,49167
A. Socialdemokratiet,Herning,10886,11333,11713
A. Socialdemokratiet,Holstebro,8977,10762,10196
A. Socialdemokratiet,Ikast-Brande,5463,5403,5428
A. Socialdemokratiet,Lemvig,2833,3173,2978
A. Socialdemokratiet,Ringkøbing-Skjern,6406,6830,6668
A. Socialdemokratiet,Skive,9064,9164,8879
A. Socialdemokratiet,Struer,4125,3974,4040
A. Socialdemokratiet,Viborg,14378,14821,14983
A. Socialdemokratiet,Brønderslev,7184,6692,7910
A. Socialdemokratiet,Frederikshavn,13692,12460,14268
A. Socialdemokratiet,Hjørring,12017,11542,13147
A. Socialdemokratiet,Jammerbugt,8053,7659,8391
A. Socialdemokratiet,Læsø,377,350,353
A. Socialdemokratiet,Mariagerfjord,8227,7757,8795
A. Socialdemokratiet,Morsø,4850,4681,4938
A. Socialdemokratiet,Rebild,5138,5172,5842
A. Socialdemokratiet,Thisted,8453,8629,9272
A. Socialdemokratiet,Vesthimmerlands,5390,5638,6144
A. Socialdemokratiet,Aalborg,40358,40383,45011
B. Radikale Venstre,København,56075,31976,59894
B. Radikale Venstre,Frederiksberg,12234,7189,11580
B. Radikale Venstre,Dragør,923,468,889
B. Radikale Venstre,Tårnby,2032,945,1772
B. Radikale Venstre,Albertslund,1433,638,1379
B. Radikale Venstre,Ballerup,2548,1060,2193
B. Radikale Venstre,Brøndby,1463,610,1755
B. Radikale Venstre,Gentofte,6787,4083,6586
B. Radikale Venstre,Gladsaxe,5043,2632,4869
B. Radikale Venstre,Glostrup,1058,424,972
B. Radikale Venstre,Herlev,1425,604,1323
B. Radikale Venstre,Hvidovre,2620,1112,2666
B. Radikale Venstre,Høje-Taastrup,2520,950,2406
B. Radikale Venstre,Ishøj,809,318,1357
B. Radikale Venstre,Lyngby-Taarbæk,5420,3048,5235
B. Radikale Venstre,Rødovre,2053,884,2007
B. Radikale Venstre,Vallensbæk,813,347,890
B. Radikale Venstre,Allerød,2181,1287,2359
B. Radikale Venstre,Egedal,2958,1380,2566
B. Radikale Venstre,Fredensborg,3103,1729,3258
B. Radikale Venstre,Frederikssund,2464,1065,1927
B. Radikale Venstre,Furesø,3743,2233,3950
B. Radikale Venstre,Gribskov,2387,976,1798
B. Radikale Venstre,Halsnæs,1436,446,1027
B. Radikale Venstre,Helsingør,4237,2036,4219
B. Radikale Venstre,Hillerød,3746,1917,3564
B. Radikale Venstre,Hørsholm,1839,1119,1910
B. Radikale Venstre,Rudersdal,5443,3327,5841
B. Radikale Venstre,Bornholm,1503,426,844
B. Radikale Venstre,Christiansø,6,1,2
B. Radikale Venstre,Greve,2358,998,2095
B. Radikale Venstre,Køge,2957,1310,2287
B. Radikale Venstre,Lejre,1772,787,1329
B. Radikale Venstre,Roskilde,6327,3257,5441
B. Radikale Venstre,Solrød,1052,508,1028
B. Radikale Venstre,Faxe,1646,569,888
B. Radikale Venstre,Guldborgsund,2328,791,1430
B. Radikale Venstre,Holbæk,3712,1901,2849
B. Radikale Venstre,Kalundborg,1934,763,1320
B. Radikale Venstre,Lolland,1255,365,632
B. Radikale Venstre,Næstved,3546,1175,2411
B. Radikale Venstre,Odsherred,1520,549,986
B. Radikale Venstre,Ringsted,1678,758,1394
B. Radikale Venstre,Slagelse,3009,1432,2626
B. Radikale Venstre,Sorø,1575,644,1116
B. Radikale Venstre,Stevns,1088,365,708
B. Radikale Venstre,Vordingborg,2083,734,1814
B. Radikale Venstre,Assens,1935,680,1156
B. Radikale Venstre,Faaborg-Midtfyn,2809,974,1799
B. Radikale Venstre,Kerteminde,1057,304,709
