uuid,identifier,Date,Type,LanduseAroundMound,LanduseOnTopOfMound,Prominence,Latitude,Longitude,Northing,Easting,HeightMax,DiameterMax,DiameterMin,Condition,MostRecentDamageWithin,geospatialcolumn
1.00E+18,9500,8-Sep,Burial Mound,Annual agriculture,Annual agriculture,Hilltop (local maximum),42.37472892,26.13517719,4691745.489,428798.9281,1.6,70,55,4 - seriously damaged,Last month,POINT(428798.928102 4691745.489463)
1.00E+18,9501,8-Sep,Burial Mound,Annual agriculture,Annual agriculture,Lower slope,42.37343225,26.13350168,4691602.917,428659.5142,0.8,35,25,3 - damaged,Last month,POINT(428659.514195 4691602.916519)
1.00E+18,9502,8-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.36523758,26.16158218,4690669.819,430962.4784,1.3,45,40,3 - damaged,Last month,POINT(430962.478425 4690669.819039)
1.00E+18,9503,8-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.37050762,26.15960901,4691256.594,430805.7855,1,40,30,3 - damaged,Last month,POINT(430805.785525 4691256.593571)
1.00E+18,9504,8-Sep,Uncertain Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.37431681,26.16438921,4691675.675,431203.5274,1.8,30,25,4 - seriously damaged,Last month,POINT(431203.527396 4691675.675371)
1.00E+18,9505,8-Sep,Burial Mound,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.37405241,26.1651599,4691645.693,431266.6908,2,40,30,3 - damaged,Last month,POINT(431266.690793 4691645.693187)
1.00E+18,9506,8-Sep,Burial Mound,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.37497185,26.16452806,4691748.297,431215.6739,5,40,35,2 - minor damage,Last week,POINT(431215.673914 4691748.296506)
1.00E+18,9507,10-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Upper slope,42.4036724,26.13264363,4694961.43,428623.1401,3,25,30,2 - minor damage,Unknown,POINT(428623.140094 4694961.429666)
1.00E+18,9508,10-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Lower slope,42.40357143,26.1330311,4694949.892,428654.9117,1.6,17,12,4 - seriously damaged,Unknown,POINT(428654.911662 4694949.892234)
1.00E+18,9509,10-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Upper slope,42.40357623,26.13337097,4694950.14,428682.8858,0.3,17,10,5 - extinct or near extinct,Unknown,POINT(428682.885849 4694950.139774)
1.00E+18,8100,10-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.40222518,26.13370833,4694799.84,428709.119,4,35,,2 - minor damage,Last year,POINT(428709.118957 4694799.839653)
1.00E+18,9510,10-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Upper slope,42.40430314,26.13168499,4695032.272,428544.9661,3,20,16,2 - minor damage,Last month,POINT(428544.966109 4695032.271881)
1.00E+18,9511,10-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Upper slope,42.40461911,26.13133157,4695067.654,428516.2413,2,17,14,4 - seriously damaged,Last year,POINT(428516.241261 4695067.653504)
1.00E+18,9512,10-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Upper slope,42.40480866,26.13115114,4695088.852,428501.6085,1.2,20,14.5,4 - seriously damaged,Last year,POINT(428501.608501 4695088.852274)
1.00E+18,8101,10-Sep,Burial Mound,Pasture (grassland),Pasture (grassland),Hilltop,42.40266094,26.13346202,4694848.432,428689.3416,0.5,12,10,5 - extinct or near extinct,Unknown,POINT(428689.341615 4694848.431896)
1.00E+18,8102,10-Sep,Burial Mound,Scrub,Scrub,Upper slope,42.40341649,26.13752645,4694928.924,429024.6733,0.5,20,15,5 - extinct or near extinct,Unknown,POINT(429024.673318 4694928.923609)
