"Population at the first day of the quarter by region and time"

" ","2022Q1"
"Region Hovedstaden",1867948
"Copenhagen",644431
"Frederiksberg",103608
"Dragør",14640
"Tårnby",42723
"Albertslund",27599
"Ballerup",49274
"Brøndby",35651
"Gentofte",74217
"Gladsaxe",69259
"Glostrup",23514
"Herlev",28867
"Hvidovre",53267
"Høje-Taastrup",53053
"Ishøj",23225
"Lyngby-Taarbæk",57826
"Rødovre",41382
"Vallensbæk",16488
"Allerød",25867
"Egedal",44375
"Fredensborg",41211
"Frederikssund",45800
"Furesø",41402
"Gribskov",41147
"Halsnæs",31344
"Helsingør",62875
"Hillerød",53257
"Hørsholm",24761
"Rudersdal",57247
"Bornholm",39545
"Christiansø",93
"Region Sjælland",843513
"Greve",50818
"Køge",61718
"Lejre",28623
"Roskilde",89447
"Solrød",23794
"Faxe",37161
"Guldborgsund",60310
"Holbæk",72810
"Kalundborg",48368
"Lolland",40107
"Næstved",83801
"Odsherred",32881
"Ringsted",35141
"Slagelse",79691
"Sorø",30018
"Stevns",23473
"Vordingborg",45352
"Region Syddanmark",1228362
"Assens",40972
"Faaborg-Midtfyn",51849
"Kerteminde",24034
"Langeland",12316
"Middelfart",39603
"Nordfyns",29714
"Nyborg",32098
"Odense",205978
"Svendborg",59193
"Ærø",6025
"Billund",26631
"Esbjerg",115459
"Fanø",3427
"Fredericia",51606
"Haderslev",55340
"Kolding",93544
"Sønderborg",73711
"Tønder",36849
"Varde",49664
"Vejen",42596
"Vejle",119060
"Aabenraa",58693
"Region Midtjylland",1341857
"Favrskov",48880
"Hedensted",47099
"Horsens",94443
"Norddjurs",36921
"Odder",23304
"Randers",98988
"Samsø",3716
"Silkeborg",97358
"Skanderborg",64318
"Syddjurs",43596
"Aarhus",355238
"Herning",89230
"Holstebro",58553
"Ikast-Brande",41885
"Lemvig",19398
"Ringkøbing-Skjern",56203
"Skive",45078
"Struer",20802
"Viborg",96847
"Region Nordjylland",591740
"Brønderslev",36194
"Frederikshavn",58878
"Hjørring",63839
"Jammerbugt",38187
"Læsø",1769
"Mariagerfjord",41662
"Morsø",20068
"Rebild",30646
"Thisted",43089
"Vesthimmerlands",36326
"Aalborg",221082

